Dec	Hex	Event Type	Description	Sub Event Type	Software_Hardware	Short Name
0	0	SOH_RELEVANT_EVENT	"Event, that has impact on SOH estimation"	OVERVOLTAGE_EVENT	BMS 	BMS
1	1	PROTECTION_EVENT	"Event, that was triggered by hw constraint violation"	UNDERVOLTAGE_EVENT	BMS_DRIVER 	BMS_DRIVER
2	2	STATE_TRANSITION_EVENT	"Event, that as triggered by a change of the internal state machine of the bms"	OVERTEMPERATURE_EVENT	ACCELEROMETER 	ACCELEROMETER
3	3	DELETE_ERROR_LIST_EVENT	Delete error event	UNDERTEMPERATURE_EVENT	FRAM 	FRAM
4	4	HW_ERROR_EVENT	"Event, that was triggered by a detected hw failure"	ALERT_OVERRIDE_PROTECTION_EVENT	MEMORY_MANAGER_COMP_ID	MEMORY_MANAGER
5	5	SW_ERROR_EVENT	"Event, that was triggered by a software error"	SHORT_CIRCUIT_PROTECTION_EVENT	PCD 	PCD
6	6			CURRENT_PROTECTION_EVENT	PVD 	PVD
7	7			ENTER_STATE_EVENT	ADC 	ADC
8	8			EXIT_STATE_EVENT	DAC 	DAC
9	9			SYSTEM_STATE_EVENT	TEMP_DRIVER 	TEMP_DRIVER
10	0A			IMPACT_PROTECTION_EVENT	USAGE_DATA_MANAGER 	USAGE_DATA_MANAGER
11	0B			BATTERY_FULL_SOC_EVENT	VALUE_MONITORING 	VALUE_MONITORING
12	0C			BATTERY_EMPTY_SOC_EVENT	RTC_DRIVER 	RTC_DRIVER
13	0D			DEBUG_EVENT	NFC_DRIVER 	NFC_DRIVER
14	0E			QMAX_UPDATE_EVENT	I2C_DRIVER 	I2C_DRIVER
15	0F			DCDC_HW_ERROR_EVENT	SPI_DRIVER 	SPI_DRIVER
16	10			DEVICE_XREADY_ON_WAKEUP_EVENT	UART_DRIVER 	UART_DRIVER
17	11			NEW_DATA_AVAILABLE_EVENT	TIMER 	TIMER
18	12			VBC_STATE_EVENT	PAR 	PAR
19	13			LOST_MSGS_EVENT	RHEOSTAT_DRIVER_ID	RHEOSTAT_DRIVER
20	14			EBD_BUF_OVERFLOW_IN_FORWARDING_MSG	GPIO_DRIVER_ID	GPIO_DRIVER
21	15			LOW_VOLTAGE_CHANGE	RTOS_ID	RTOS
22	16			INVALID_EBS_MSG	DSH 	DSH
23	17			NOTICE_EVENT	DDD 	DDD
24	18				PSH 	PSH
25	19			CMA 	CMA 	CMA
26	1A			NRO 	NRO 	NRO
27	1B				ETS 	ETS
28	1C			NFP [C]	NFP 	NFP
29	1D				SWANFTEST_467	SWANFTEST_467
30	1E				PPD 	PPD
31	1F				SWANFTEST_531	SWANFTEST_531
32	20				LOG 	LOG
33	21				EEP 	EEP
34	22				SYC 	SYC
35	23				FSH 	FSH
36	24				FLD 	FLD
37	25			EAS 	EAS 	EAS
38	26			ECM 	ECM 	ECM
39	27				---	---
40	28				PLC 	PLC
41	29				ENR 	ENR
42	2A			VDE 	VDE 	VDE
43	2B				VDB 	VDB
