2025-06-10 23:31:22  ETA 7  State: Comp. Check / Do-Not-Attach (0x4040), Spannung: 0.00 V, Temperatur: 0.0 °C, Zähler: 0 (Raw: V=0, T=0)
2025-06-10 23:31:22  ETA 2  State: Normal Operation (0x80c0), Spannung: 27.20 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=3319, T=0)
2025-06-10 23:31:22  ETA 6  State: Ready-to-Attach (0x8080), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:22  ETA 3  State: Normal Operation (0x80c0), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:22  ETA 5  State: Ready-to-Attach (0x8080), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:22  ETA 4  State: Normal Operation (0x80c0), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:23  ETA 7  State: Comp. Check / Do-Not-Attach (0x4040), Spannung: 0.00 V, Temperatur: 0.0 °C, Zähler: 0 (Raw: V=0, T=0)
2025-06-10 23:31:23  ETA 2  State: Normal Operation (0x80c0), Spannung: 27.20 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=3319, T=0)
2025-06-10 23:31:23  ETA 6  State: Ready-to-Attach (0x8080), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:23  ETA 3  State: Normal Operation (0x80c0), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:23  ETA 5  State: Ready-to-Attach (0x8080), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:23  ETA 4  State: Normal Operation (0x80c0), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:24  ETA 7  State: Comp. Check / Do-Not-Attach (0x4040), Spannung: 0.00 V, Temperatur: 0.0 °C, Zähler: 0 (Raw: V=0, T=0)
2025-06-10 23:31:24  ETA 2  State: Normal Operation (0x80c0), Spannung: 27.20 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=3319, T=0)
2025-06-10 23:31:24  ETA 6  State: Ready-to-Attach (0x8080), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:24  ETA 3  State: Normal Operation (0x80c0), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:24  ETA 5  State: Ready-to-Attach (0x8080), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:24  ETA 4  State: Normal Operation (0x80c0), Spannung: 1.15 V, Temperatur: 0.0 °C, Zähler: 9734 (Raw: V=140, T=0)
2025-06-10 23:31:25  ETA 7  State: Comp. Check / Do-Not-Attach (0x4040), Spannung: 0.00 V, Temperatur: 0.0 °C, Zähler: 0 (Raw: V=0, T=0)
